Name,Logo,Site,Funding Rounds,Location(s),Notes
.406 Ventures,vmm6ugjlhyps9yhu3ufi.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/Q_Gi48N6TMJcMsF5irSQow/tyvsVCIpNvQbFMkyReyn5XPqG9CA-a2Tp8sTOKa2SnOrxEDJLDNR1wIDWzHur8AyxSGmH2mybc8tEy4BgAy4xQowzenJOK7x44tVqvFZb_4KBELqSpcl9164r5SwfbBy/AsUxJDhxfbbRYYTmrrU4Y4s446w4PYRFnuwdJoQV8fw),http://www.406ventures.com/,.406 Ventures II,Boston/Cambridge,
83North,booplpldsebesnxqyt3o.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/ftfYLOWBte-jhFhkVUAB8g/lrfJq14Jfh0VeBC-AuJnqW_qYDHMiqolxWNGDJanox1QAr1E-MiPAqQgnnyTN08vOFmSwSmnzX93J1ppTPq5l0r9UvUMBGSA5hqSWozqhSgRHWbXpNqu--jPcKrrELBl/zUpH117toEDiPvvXq2TbyzKK5_r_6E7mTVRZAlIgwL8),http://www.83north.com/,83North I,"Tel Aviv Metro Area,London",Formerly Greylock IL
137 Ventures,4cd3e0820f08a1ea8325be1b9990e569.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/DnDpgobRw2EpiK22nwWXSg/KXUgBDOiywIO4u4kdvEl9pp6oPLRRwWUjt5e10eLXt0hPLUpiPQcI2D7UfyCZYZvnCt4_uWxu_hyXc0xJV9Oy-ELh0QxepyCsqZyjHMo2seD1HhfNsNFJ-0wiiLpooBr/oRyx3puiYmWjxGDHFb-z-V4VvtTD0Z5HnhwWCO7nYPA),http://137ventures.com/,137 Ventures II,SF Bay Area/Silicon Valley,
212 Limited,oqjnbl1ieirdf57k6e4s.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/_guxdifWnrgtz7ys0yLsWQ/uETkqoQ4P8z7rryefN7zKmsCBOEd2WChYxk1yFOFiiE2I0dFTTu6ZzrFbxpwMU5jbr3F2W7A2Vo5wvC1UOvy93R7VQdiPxxXCu366LcQ0wCyqncw8A0dIojTMpuP_64T/ledP2ndaQpdC7VeZHFk5hSOsvPihXMtG43NYvw_4XJE),http://212ltd.com/,212 Limited I,Istanbul,
500 Startups,ehscebzgx2cvshmw9vxb.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/0L3_0R5A8H8W52HmbBsrQg/OJf_8iXESzNuDL7FG1ja9B1I4yLRbXmpQJ_1oXYCMeUuc-hOGwNE2JHBiKv1LHZ-uyoJFh1TH7APQ-J-BlyJAlmAXwovdoYlBz1-c3yrfWu4mUW3W6kwR8vbTn6OyZBB/PiAbLGVb4D2wvQOpk8yvA2Caj1MRQpPsfY3EU7fHDfI),http://500.co/,"500 Startups III,500 Startups II,500 Startups I","SF Bay Area/Silicon Valley,""New York, NY"",Mexico City",
1955 Capital,im04cp1aagy36n35cdhz.png (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/L8ZVt5IBpfqubDalbikEpA/OV5BOfwqVBOE4fOst83s5-gnYbqdIPO0D3IsAuJ2N8ABC3AoKzaFw8HkJg9jv9fQmafAHVFRlnmnnf_Nex5pxL0gqlYh_ne8G1AHqRAg0IcyxQkjj3tEzI_VOfAQPuU8/jxB-IkKana-DQVYrGwpKxnqmOJsmCc5NymPwZeDroTU),http://www.1955.capital/,1955 Capital I,SF Bay Area/Silicon Valley,
Acton Capital Partners,acton_capital_partners.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/RVVu2Ly8YPtWBdaea5U97g/AtE39MWcDC7zsMWcpzpI3Mcs1_w8P0CC0koDwJgkZAEGBKdUZSNiScLLKZ_uJ8n8ne_517n2og6vsZam2rd5JmQG41GWRdJoCbdHo7U2a7kWISeNOjOmfNDc5kSDeVfF/M9jtxBD_fI1A0-C7Lf3Tyo48dd2wC1eF52-vA_DI-iI),http://www.actoncapital.com/,Acton Capital Partners II,Munich,
Aglaia Biomedical Ventures,aglaia_biomedical_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/GIMYEaC9FnFgSwf_tl1q7Q/n5O4JGLOZwq7Ba3DTuAr0KOheHWWwCKcL8kysc2ggzI_PhUs95Fj0Vtx1C5ARaFFrlk1dNhZOiocSZ3adm_nLBbeziryRIKJryfeGSKT5rBwANBBV4a9GAOULJV8XKWk/s8hbql3HGKPAO41CQahoetTqkJHdwkET0ZrnTLV8ibM),http://www.aglaia-biomedical.com/,Aglaia Biomedical Ventures II,"""Bilthoven, The Netherlands""",
AH Bio Fund,andreesen_horowitz.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/Hf57q8NUxOMSn9--H1sZMg/JsBlyI-tjpUuWpQs8QhN-9UrwrLhkbcYnWAx8p_9Wi21JRwVvWpQ-TGzaCfv8RHxUSvT6o_FSp-C_Lx4qLOA8CBbOozUzBUpQuYeyyWgZBI/A4dhlWCS1fPdHJp18x5hMyGQwkXF1xIA_pF-2qrxiQ4),http://www.a16z.com/,AH Bio Fund I,SF Bay Area/Silicon Valley,
Akkadian Ventures,akkadian_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748289600000/iTTbjSz0y8RRY1eLlCHd2A/1lhDGuX_wHE91jawDRJV19pW_2Od95moXvWOxHgvflocdnxHzPEFRcnXAGpkhBn_7lqJx8KdV8WRubiT1gTgrYLP9moKD_hDLJZlJG9UNHs/ppcBl2MFc0e30baeRmK59dzlNJf3kbe8k7c5FybGiT8),http://www.akkadianventures.com/,Akkadian Ventures III,SF Bay Area/Silicon Valley,
