First Name,Last Name,Title,Company,Industry,Keywords,Person Linkedin Url,Website,Twitter Url,City,State
Don,Dodge,,REDEF,investment management,"investment management,retirement,incomeplus,rrsp,boomer,segregated funds,annuities,term insurance,art supplies,arts & crafts,shopping",http://www.linkedin.com/in/dondodge,http://www.typepad.com,https://twitter.com/cozmotv/,Naples,Florida
Jared,Hecht,Co-Founder & Chief Executive Officer,Fundera,financial services,"financial services,small & medium businesses,finance technology,loans,finance,small business finance & online lending",http://www.linkedin.com/in/jaredhecht,http://www.fundera.com,http://twitter.com/fundera,New York,New York
Michael,Mignano,Head of Podcaster,Spotify,music,,http://www.linkedin.com/in/mmignano,http://www.spotify.com,https://twitter.com/Spotify,New York,New York
Mark,Tebbe,Adjunct Professor of Entrepreneurship,University of Chicago Booth School of Business,higher education,"clean technology,healthcare,mobile,higher education,information technology",http://www.linkedin.com/in/mtebbe,http://www.chicagobooth.edu,http://www.twitter.com/polskycenter,Chicago,Illinois
Ben,Lamm,Founder & CEO,Colossal Biosciences,,,http://www.linkedin.com/in/benlamm,http://www.benlamm.com,,Austin,Texas
Maulik,Majmudar,Chief Medical Officer and Co-Founder,,,,http://www.linkedin.com/in/mmajmudar,,,Boston,Massachusetts
Gregg,Bennett,Chairman & Founder,SCATE Ventures,sports,"journalism,sports,college,athletics",http://www.linkedin.com/in/gregg-bennett,http://www.herosports.com,,Seattle,Washington
Salmanson,Salmanson,Co-Founder,Cherre,real estate,"real estate,software,ai,ml,analytics",http://www.linkedin.com/in/ldsalmanson,http://www.cherre.com,https://twitter.com/cherrecore,New York,New York
Etienne,Leroy,CMO & CPO and Co-Founder,OpenFrame,consumer goods,"consumer electronics,security,sensors,internet,hardware,embedded hardware and software,information technology,360 imaging technology,virtual reality,software,product design,360 videos",http://www.linkedin.com/in/etienneleroy,http://www.giroptic.com,http://www.twitter.com/giroptic,Cambridge,Massachusetts
Darrell,Silver,CEO & Co-Founder,Thinkful,,,http://www.linkedin.com/in/darrellsilver,http://www.darrellsilver.com,,New York,New York
Leif,Abraham,Co-CEO,Public.com,financial services,"mobile,financial services,finance technology,personal finance,information technology,finance",http://www.linkedin.com/in/leifabraham,http://www.public.com,https://twitter.com/Matador_Trading,New York,New York
Wenda,Millard,"Vice Chairman, President & Chief Operating Officer",MediaLink,marketing & advertising,"digital media,consulting,media,consumer internet,internet,information technology,advertising,marketing,entertainment",http://www.linkedin.com/in/wendaharrismillard,http://www.medialink.com,https://twitter.com/MediaLink,New York,New York
Jeffrey,Wald,Executive Chairman,Bento Engine,computer software,"enterprise software,saas,freelancers,labor optimization,software,information technology,online staffing platform,workforce solutions,labor automation,total talent management,ondemand workforce management,workforceasaservice,workforce automation",http://www.linkedin.com/in/jeffwald,http://www.workmarket.com,http://twitter.com/workmarket,New York,New York
Justin,Smith,Managing Director,Ark Applications,,,http://www.linkedin.com/in/justinrsmith2,,,Tampa,Florida
Larry,Kaplan,CEO Mentor,,,,http://www.linkedin.com/in/larrykaplan1,,,Chicago,Illinois
Jay,Long,EVP Business Development/Founder,Pathways,,,http://www.linkedin.com/in/jaylong1,,,Phoenix,Arizona
Anjali,Kumar,Co-Founder,,,,http://www.linkedin.com/in/anjali-kumar-781b2b24,,,New York,New York
Harry,Shum,Emeritus Researcher,,,,http://www.linkedin.com/in/harryshum,,,Redmond,Washington
Konstantin,Mehl,"CEO, Founder & President",Kaia Health,computer software,"artificial intelligence,digital health,motion capture,digital therapeutics,deep information technology,human computer interaction,information technology,digital therapy,pain treatment,digital therapy interface,insurance,back pain treatment",http://www.linkedin.com/in/konstantinmehl,http://www.kaiahealth.com,https://twitter.com/KaiaHealth,New York,New York
Mohsin,Ali,Founder & Chief Executive at Clayive.com,Clayive,marketing & advertising,"digital marketing,search engine marketing,email marketing,content marketing,social media marketing,growth marketing,website development,ecommerce,advertising,application development,ux,ui,creative strategy,design,marketing automation,facebook marketing,marketing agency",http://www.linkedin.com/in/mohsinaliw,http://www.clayive.com,https://twitter.com/clayivedigital,Houston,Texas
Brian,Perrott,Co-Founder | President,BluePallet,international trade & development,,http://www.linkedin.com/in/brianperrott,http://www.bluepallet.io,https://twitter.com/bluepalletio,Austin,Texas
Kurt,Bilafer,,Banzai,computer software,"event registration,digital engagement,audience generation,lead generation",http://www.linkedin.com/in/kurtjbilafer,http://www.highattendance.com,https://twitter.com/getbanzai,Plano,Texas
Jose,Andres,President/Chef,Think Food Group,restaurants,"hospitality,restaurants,consulting",http://www.linkedin.com/in/jose-andres-54a45219,http://www.thinkfoodgroup.com,http://www.twitter.com/thinkfoodgroup,Washington,District of Columbia
Yosh,Eisbart,Co-Founder & CEO at Fulfilld,Fulfilld,information technology & services,"warehouse management software,software as a service,simpleeasy implementation,systemdriven proactive recommendations",http://www.linkedin.com/in/yosheisbart,http://www.fulfilld.io,,Denver,Colorado
Chris,Turnley,Sales,MediaTech Ventures,financial services,"checking accounts,home loans,savings accounts,credit cards,auto loans,business loans,business checking accounts,personal loans,boat loans,rv loans,insurance,investments,retirement planning,banks & credit unions,financial services",http://www.linkedin.com/in/christurnley,http://www.ufcu.org,https://twitter.com/ufcu,Austin,Texas
Jonny,Rhea,Co-Founder and CTO,Element Finance,internet,,http://www.linkedin.com/in/jrhea,http://www.element.fi,,Dallas,Texas
Michael,Rubenstein,Co-Founder and President,OpenStore,internet,,http://www.linkedin.com/in/mrubenstein99,http://www.open.store,,New York,New York
Madeline,Darcy,Founding Partner,madelinedarcy.com,,,http://www.linkedin.com/in/madelinedarcy,http://www.madelinedarcy.com,,Boston,Massachusetts
Shereen,Shermak,,,,,http://www.linkedin.com/pub/shereen-shermak/0/8a/400,,,Boston,Massachusetts
Lolita,Taub,Co-founder and General Partner,The Community Fund,,,http://www.linkedin.com/in/lolitataub,,,Baltimore,Maryland
Roman,Glushchuk,President,REDLINE IT,,,http://www.linkedin.com/in/romanglushchuk,,,Boston,Massachusetts
Laura,Lauder,"Co-Founder, Foundation Board Incubator",Jewish Teen Funders Network,,,http://www.linkedin.com/in/laura-lauder-5a5ab81,,,Philadelphia,Pennsylvania
Jaffray,Woodriff,Co-Founder & CEO,Quantitative Investment Management,investment management,,http://www.linkedin.com/in/jaffraywoodriff,http://www.quantitative.com,,Charlottesville,Virginia
Jeremy,Hitchcock,Founder / Exec Chair,Minim,,,http://www.linkedin.com/in/jhitchco,http://www.sleepzero.com,,Manchester,New Hampshire
Steven,Alan,FOUNDER & CEO,Steven Alan,apparel & fashion,"apparel,home,accessories,children's clothing,fashion,jewelry,men's clothing,shopping,women's clothing",http://www.linkedin.com/in/steven-alan-3439798,http://www.stevenalan.com,https://twitter.com/Steven_Alan,New York,New York
Michael,Mark,Member,Walnut Venture Associates,,,http://www.linkedin.com/in/michael-mark-0437b694,,,Reading,Massachusetts
Marc,Katz,President,Custom Ink,retail,"e-commerce,fashion,printing,hardware,consumer internet,information technology,internet,ecommerce,internet retailer,mass customization,ondemand printing,tshirt printing,screen printing,digital printing,embroidery,custom apparel,customized merchandise,local services,printing services,screen printing/t-shirt printing,shopping",http://www.linkedin.com/in/marc-katz-950b302,http://www.customink.com,http://twitter.com/customink,Washington,District of Columbia
Lena,Goldberg,Senior Lecturer,Harvard Business School,higher education,,http://www.linkedin.com/in/lena-goldberg-4855a013,http://www.hbs.edu,https://twitter.com/HarvardHBS,Boston,Massachusetts
Mark,Feinstein,Associate Partner,Social Enterprise Greenhouse,,,http://www.linkedin.com/in/mrfeinstein,,,Providence,Rhode Island
Frederico,Medeiros,President,Suite CloudHash,,,http://www.linkedin.com/in/frederico-j-medeiros-46aa5530,,,Orlando,Florida
Ken,Savage,Digital Marketing Mentor,,,,http://www.linkedin.com/in/kensavage,,,Boston,Massachusetts
Ben,Reubenstein,,,,,http://www.linkedin.com/in/benreubenstein,,,Denver,Colorado
Joel,Clark,"Founder, CEO",,,,http://www.linkedin.com/in/joel-clark-221309a9,,,,
David,Cushing,,,,,http://www.linkedin.com/in/david-cushing-94489b10,,,Boston,Massachusetts
Gavon,Renfroe,Vice President,,,,http://www.linkedin.com/in/gavonrenfroe,,,Austin,Texas
Shailendra,Singh,Founder & CEO,Samya.AI,computer software,"enterprise ai,saas,artificial intelligence,technology,revenue growth ai,consumer goods,cpg,fmcg,deep learning,machine learning",http://www.linkedin.com/in/shailendra-singh-55b8034,http://www.samya.ai,,Chicago,Illinois
Scott,Nussbaum,Chief Compliance Officer,Blue Heron Research,research,"primary research,due diligence,qualitative research,database research,private equity,hedgefund,channel check,industry research,journalism,research,financial services,alternative data",http://www.linkedin.com/in/scott-nussbaum-089a92,http://www.blueheronrp.com,,New York,New York
Alex,Burkhart,Founder,Prospect Management group,information technology & services,"saas,startups,venture capital,angels,enterprise software,finance,software,information technology",http://www.linkedin.com/in/alex-burkhart-40140411,http://www.crunchbase.com,http://www.twitter.com/crunchbase,Cincinnati,Ohio
Todd,Goldstein,Partner in Charge of Finance and Operations,LaunchHouse,food & beverages,consumer packaged goods,http://www.linkedin.com/in/toddgoldstein,http://www.whoadough.com,https://twitter.com/whoadough_,,
Michael,Akkerman,Chief Product & Strategy Officer,,,,http://www.linkedin.com/in/mikeakkerman,,,New York,New York
Jessica,Millstone,Managing Director,,,,http://www.linkedin.com/in/jessicamillstone,,,New York,New York
Amadeo,Brenninkmeijer,Senior Partner,inPositiv,internet,"startups,recruiting,venture capital,enterprise software,finance,software,information technology",http://www.linkedin.com/in/amadeobr,http://www.angel.co,http://twitter.com/angellist,New York,New York
Austin,Groesser,Co-Founder,austingroesser.com,,,http://www.linkedin.com/in/austin-groesser-635008101,http://www.austingroesser.com,,Traverse City,Michigan
Jeff,Rusinow,,Etr Group,medical devices,"mobile,health care information technology,mobile health,software engineering,information technology,health care,respiratory health,disease management,asthma,copd,remote monitoring,mhealth,digital therapeutics,population health,sensors,internet of things,digital health,digitallyguided therapy,value based care",https://www.linkedin.com/pub/jeff-rusinow/4/463/8aa,http://www.propellerhealth.com,https://twitter.com/PropellerHealth,Milwaukee,Wisconsin
Graham,Weston,Advisor,Promoter.io,real estate,"commercial office space,commercial lease,office building,real estate,retail,commercial real estate,shared office spaces",http://www.linkedin.com/in/grahamweston,http://www.westoncentre.com,,San Antonio,Texas
Scot,Wingo,Executive Chairman and Co-founder,Spiffy — On-Demand Car Care,consumer services,"mobile car washing,mobile auto detailing,commercial power washing,fleet services,ondemand car wash & detailing,car wash & detailing mobile app for ios & android,mobile oil change,auto detailing,automotive,car wash",http://www.linkedin.com/in/thescotwingo,http://www.getspiffy.com,https://twitter.com/getspiffy/,Raleigh,North Carolina
Craig,Barrett,VP Marketing,REX,consumer services,"pet groomers,pet services,pet stores,pets",http://www.linkedin.com/in/craigabarrett,http://www.rexseattle.com,https://twitter.com/rex_seattle,Austin,Texas
Travis,Howle,Chief Technical Officer,Esports Mogul Asia Pacific,farming,"software engineering,agriculture,farming,forages,alfalfa,hay,technology",http://www.linkedin.com/in/thowle,http://www.elwoh.com,,,
Udi,Mokady,"Founder, President & CEO",CyberArk,computer software,"security,information security,internet,information technology,privileged account security,advanced threat protection,insider threat protection,privileged identity management,privileged session management,ssh key management,highly sensitive information management,information security software,devops security,devsecops,cloud security,identity security,privileged access management",http://www.linkedin.com/in/udimokady,http://www.cyberark.com,http://twitter.com/Cyberark,Boston,Massachusetts
Zane,Lackey,Founder & Chief Security Officer,Signal Sciences,information technology & services,"application security,appsec,web security,next generation waf,nextgen waf,ngwaf,web application security,rasp,waf,web protection platform,devops,runtime application selfprotection,cloud security,devsecops,secdevops,technology",http://www.linkedin.com/in/zane-lackey-66a3404,http://www.signalsciences.com,https://twitter.com/signalsciences,Austin,Texas
Brian,Hilgendorf,"Senior financial executive focused on the formation, development and launching",,,,http://www.linkedin.com/in/brian-hilgendorf-2517041,,,Seattle,Washington
Michael,Kempner,Founder & Chief Executive Officer,MikeWorldWide Integrated Public Relations,,,http://www.linkedin.com/in/michaelkempner,,,New York,New York
Allen,Gannett,"Author, The Creative Curve",allen.xyz,,,http://www.linkedin.com/in/allengannett,http://www.allen.xyz,,New York,New York
Erhan,Bilici,Capital Planning & Stress Testing Officer,UBS,internet,"social media,consumer internet,internet,information technology,identity,entrepreneurs,consulting,freelance",http://www.linkedin.com/in/bilici,http://www.about.me,http://twitter.com/aboutdotme,New York,New York
Ankit,Mathuria,Chief Technology Officer,Oyo,,,http://www.linkedin.com/in/ankit-mathuria-926a941,http://www.oyo.be,,Seattle,Washington
Amit,Agarwal,Chief Product Officer,Datadog,computer software,"enterprise software,cloud infrastructure,application performance monitoring,infrastructure monitoring,software,information technology,saas,apm,log management,cloud,devops,monitoring,infrastructure,distributed systems,cloud computing,opensource,golang",http://www.linkedin.com/in/amitto,http://www.datadoghq.com,http://twitter.com/datadoghq,New York,New York
Shane,Atchison,,,,,http://www.linkedin.com/pub/shane-atchison/0/a9/817,,,Seattle,Washington
Payal,Kadakia,Founder & Executive Chairman,ClassPass,,,http://www.linkedin.com/in/payalkadakia,http://www.payalkadakia.com,,New York,New York
Joseph,Delong,CTO,SushiSwap,,,http://www.linkedin.com/in/delongjoseph,,,San Antonio,Texas
Daniel,Kogan,Chief Technology Officer,,,,http://www.linkedin.com/in/dkogan,,,New York,New York
Liz,Sweney,President of Board of Directors,Children's Advocacy Center of Collin County,,,http://www.linkedin.com/in/liz-sweney,,,Dallas,Texas
