Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Maria Cirino,Co-Founder and Managing Partner,Female,.406 Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/maria-cirino,http://www.linkedin.com/pub/maria-cirino/3/642/48a
April Underwood,Angel,Female,#Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/april-underwood,http://www.linkedin.com/in/aprilunderwood
Jana Messerschmidt,Angel,Female,#Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/jana-messerschmidt,https://www.linkedin.com/in/janamesserschmidt
Katie Stanton,Angel,Female,#Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/katie-jacobs-stanton,https://www.linkedin.com/in/katiestanton
Monique Woodard,Angel,"PoC,Female",#Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/monique-woodard,http://www.linkedin.com/in/moniquewoodard
Vijaya Gadde,Angel,Female,#Angels,Angel Network,"""San Francisco, CA""",https://www.crunchbase.com/person/vijaya-gadde,http://www.linkedin.com/pub/vijaya-gadde/5/4a7/286
Chloe Sladden,Angel,Female,"Broadway Angels,#Angels","Angel Network, Angel Network","""San Francisco, CA""",https://www.crunchbase.com/person/chloe-sladden,https://www.linkedin.com/in/chloesladden
Jin-Young Kim,Partner,Female,8VC,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jin-young-kim,http://www.linkedin.com/in/jinyoungsarah
Kimmy Scotti,Partner,Female,8VC,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/kimmy-scotti,https://www.linkedin.com/in/kimmyscotti/
Tracy Gray,Founder & Managing Partner,"PoC,Female",22 Fund,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/tracy-gray-2,https://www.linkedin.com/in/tracydgray/
William Crowder,Partner,PoC,42 Venture Partners,Venture Capital,"""Philadelphia, PA""",https://www.crunchbase.com/person/william-crowder,http://www.linkedin.com/in/williamcrowder
Elizabeth Weil,Managing Director,Female,137 Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/organization/137-ventures,https://www.linkedin.com/company/137-ventures/
Christine Tsai,Managing Partner,Female,500 Startups,"Accelerator, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/christine-tsai,https://www.linkedin.com/in/christinesltsai
Aaron Holiday,Cofounder & General Partner,PoC,645 Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/aaron-holiday,http://www.linkedin.com/in/aholidayiii
Nnamdi Okike,Cofounder & General Partner,PoC,645 Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nnamdi-okike,http://www.linkedin.com/in/nnamdiokike
Carrie Farrell,Partner,Female,A.Capital Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/carrie-farrell,https://www.linkedin.com/in/carfar
Cynthia Kueppers,Head of Venture Capital,Female,A3 Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/cynthia-kueppers,https://www.linkedin.com/in/cynthia-kueppers-797381
Margarita Chavez,Managing Director,Female,AbbVie Ventures,Venture Capital,"""North Chicago, IL""",https://www.crunchbase.com/person/margarita-chavez,https://www.linkedin.com/in/margarita-chavez-9422a/
Stephanie Carter,General Partner,Female,ABS Capital Partners,Venture Capital,"""Baltimore, MD""",https://www.crunchbase.com/person/stephanie-carter,http://www.linkedin.com/in/stephaniecarterabscapital
Jordan Gaspar,Co-Founder,Female,AccelFoods,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/jordan-gaspar,https://www.linkedin.com/in/jordan-gaspar-53192445/
Lauren Jupiter,Co-Founder,Female,AccelFoods,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/lauren-jupiter,https://www.linkedin.com/in/lauren-alexander-jupiter-0165a415/
Cack Wilhelm,Partner,Female,Accomplice,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/cack-wilhelm,https://www.linkedin.com/in/cackferrell/
Sarah Downey,"Principal, Angel","Female,LGBTQ",Accomplice,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/sarah-downey#section-overview,https://www.linkedin.com/in/sarahadowney/
Courtney Robinson,Partner,Female,Advance Venture Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/courtney-robinson,https://www.linkedin.com/in/courtrob/
David Ibnale,Founding & Managing Partner,PoC,Advance Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/david-ibnale,https://www.linkedin.com/in/david-t-ibnale/
Shari Redstone,Co-Founder & Managing Partner,Female,Advancit Capital,Venture Capital,"""Norwood, MA""",https://www.crunchbase.com/person/shari-redstone,
Chinedu Enekwe,Managing Partner,PoC,AffinitiVC,"Venture Capital, Growth Equity","""Washington, DC""",,
Shuonan Chen,General Partner,Female,Agile VC,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/shuonan-chen,
Jodi Jahic,Managing Partner,Female,Aligned Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jodi-sherman-jahic,https://www.linkedin.com/in/jodijahic/
Susan Mason,Managing Partner,Female,Aligned Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/susan-mason,https://www.linkedin.com/in/susanmason47/
Zoe Feldman,Managing Director,Female,Almanac Investments,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/zoe-feldman,https://www.linkedin.com/in/zoe-feldman-394a606/
Claudia Iannazzo,Managing Partner & Co-Founder,Female,AlphaPrime Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/claudia-iannazzo,https://www.linkedin.com/in/claudiaiannazzo
Lemuel Amen,Managing Partner,PoC,Altius Companies,Venture Capital,"""Detroit, MI""",https://www.crunchbase.com/person/lemuel-amen,https://www.linkedin.com/in/lemamen/
Dana Eli Lorch,Managing Director,Female,American Express Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/dana-lorch,https://www.linkedin.com/in/dana-eli-lorch-63139831/
Julia Huang,Managing Director,Female,American Express Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/julia-huang-3,https://www.linkedin.com/in/julia-huang-3aa71a2/
Lindsay Fitzgerald,Managing Director,Female,American Express Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/lindsay-fitzgerald,https://www.linkedin.com/in/lindsayfitzgerald/
Sue Xu,Partner,Female,Amino Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/sue-xu,https://www.linkedin.com/in/suexu/
Angela Strange,General Partner,Female,Andreessen Horowitz,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/angela-strange,https://www.linkedin.com/in/angelastrange/
Connie Chan,General Partner,Female,Andreessen Horowitz,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/connie-chan-2,https://www.linkedin.com/in/conniechan/
Jorge Conde,General Partner,PoC,Andreessen Horowitz,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/jorge-conde-2,https://www.linkedin.com/in/jorge-conde-4099225/
Katie Haun,General Partner,Female,Andreessen Horowitz,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kathryn-haun,https://www.linkedin.com/in/kathryn-haun-0791456/
Amy Nauiokas,Managing Partner,Female,Anthemis,Venture Capital,"""New York, NY""",https://www.crunchbase.com/organization/anthemis-group,https://www.linkedin.com/in/amynauiokas/
Samantha Ghiotti,Partner,Female,Anthemis,Venture Capital,,,
Jan Garfinkle,Founder & Managing Director,Female,Arboretum Ventures,Venture Capital,"""Detroit, MI""",https://www.crunchbase.com/person/jan-garfinkle,https://www.linkedin.com/in/jan-garfinkle-827330
Kristina Burow,Managing Director,Female,ARCH Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/kristina-burrow,http://www.linkedin.com/pub/kristina-burow/b/836/4a8
