Name,Logo,Site,Funding Rounds,Location(s),Notes
.406 Ventures,vmm6ugjlhyps9yhu3ufi.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/sISvL8H2J9F0AO7xcHgEKg/Ddrrms7m7LGmWRlnA0_UOV88lLn1kYrrIGyyoSy_LPGj0RoFxuCeSn5ZeNAGNONJ8IZEg_idETjhSwvs0PoREUsWMUPI3E-Tn3BgfUYRQ1fTuIlCjAoEEYbHdg49siWW/yxDo9dCOVVxyXo8-6DTsrOIQMTGZe2yiLkKzoCueN7Q),http://www.406ventures.com/,.406 Ventures II,Boston/Cambridge,
83North,booplpldsebesnxqyt3o.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/NNvRwUH61QaZXvD2j0uFHQ/VYL85wyiibgdPpFMCRP2DJ_146LLfwqAVbPLr3xRKheEkIsjWp4xn80BsI5qe3Ki_57DevP-CCTg0OS3HQZgdv-4M5UFZbFrjJcQn8ib92E8ctXjnc58g9ZEpTuItvvy/CeonW9lY2HJ6sJfjs5ym89V3gv8Q0Dsd3_Pqo5v4lfU),http://www.83north.com/,83North I,"Tel Aviv Metro Area,London",Formerly Greylock IL
137 Ventures,4cd3e0820f08a1ea8325be1b9990e569.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/v-rbljxg1LdxMh8sTSYpqg/Qv9rp-cTuwIYto_4NUq1q1n80JQW8T1iZlOcKm_-sca3y_ChLjHC8lh1U2F9YNvmPxUNz7RNrAQqy7Rsj925RN4tHyruapOVvtaLcC8kNFbCBweR9kuFS59ASc2zCjMf/fuFgDvyuV1eoznttGltoFqk4PzGKSIn4O_TeYOFry7U),http://137ventures.com/,137 Ventures II,SF Bay Area/Silicon Valley,
212 Limited,oqjnbl1ieirdf57k6e4s.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/2v71JtyRIkwUJ7Vg3wMbYg/O_vQZfLZdEGPh0Raykcju6k9sWRtSd2C8qXny4xoIerihv0C0Jh0KbE7BDfFt65T_G-Y-m09rz4QwXmH4Mx4BYtXJcVF8_ra8SSigE5fgU5ZYLEekjRHMYjTQyZwx5du/PlyEfkVXk2C3ZPoyuTmMjKdX7ttn-xRupwVhWp8SAWM),http://212ltd.com/,212 Limited I,Istanbul,
500 Startups,ehscebzgx2cvshmw9vxb.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/P96nA0HruUkL4cpZ3bqfhw/mYegvx7s6alyr6SukB9YSpQaXv2XV9rfB5AxL2u45tyBO6bfgPmaOYZ8tbdWnqh-yDqcZeoXzkzQi5sskLSaZHPNHiqNqpJIRV0xs2RkvgUWhQC7cn3d6vlundzhGRnV/e25stvTfy-k8hefOf4WWGE8shxu0mF5hICz2mg3Tb3k),http://500.co/,"500 Startups III,500 Startups II,500 Startups I","SF Bay Area/Silicon Valley,""New York, NY"",Mexico City",
1955 Capital,im04cp1aagy36n35cdhz.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/8xc8PT1HNLezOhlPuCGHbQ/rbeNAfhVd7KdYkxwR7tv8N4eGaGaJORAx1Wtv9lSOJ1g3WZ3kj58ZUTDvEk91jzt7a-dhyYdGl7qDRp-CpCWtn1mNihmMSfViOq7U8o6TVVcDWV31OFqDK7DsDv1z7mA/cAa5pEiI3gDpGzx9QYyBskRkeylNSIOHD2-pRVz9kQ8),http://www.1955.capital/,1955 Capital I,SF Bay Area/Silicon Valley,
Acton Capital Partners,acton_capital_partners.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/EVLZLtSfkR7zIcWWYkXjpg/2aLsS-1Vn_489PJFO93twDnsGbRFPaydGMR6EBj6uqFQtvraE63l8hN3SP124JdWX6ZWjWejIFN3CoyBWj2foZi3CQ3R5vXlM_HioKcvQmIosUoAktjR1PqbtQwW-hoy/0G5kKlN8O4ZiHWcvTuik2n3rwO9QwCMu7qhPZRZLU3c),http://www.actoncapital.com/,Acton Capital Partners II,Munich,
Aglaia Biomedical Ventures,aglaia_biomedical_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/6lGtgjvhwRy2FQCXbY_lsA/yCmzLKOvyaZ2w05p6kp2Acdmc8TxeWoHcMeihBC1eyiKEcIr-SrHgPmubxLQcV80kLn5MjexQxhCV8PXI3F96bS0qYl7yXD-LuMTKj8Zm2IVQJ_u62gXmo81J58OsTn5/bhovligNFROY3HVpJCUTGbzhdoVSiqziQzY7WmXPvAw),http://www.aglaia-biomedical.com/,Aglaia Biomedical Ventures II,"""Bilthoven, The Netherlands""",
AH Bio Fund,andreesen_horowitz.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/blaV7fZT9jqXoSwbYc9ZUQ/TIfJCSHddAouS3lbkeFCozPE4sX1RY2rYXrsyb5rj-9mFi2sw4nhgzd9_bnTNbfD3b12a6hJaFfsziwwi9h7SAZvh3yVuO41Es7LMlU7A4w/A3OUNxKgpjL56wF_oJS-Y9H6okF6ezTOvJSSYvEWg5U),http://www.a16z.com/,AH Bio Fund I,SF Bay Area/Silicon Valley,
Akkadian Ventures,akkadian_ventures.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jTtX0FWTUI_HPfpukWxXWw/PkLD5v-5Yv2N-b92xtfdUb0LG1JLsXEl2Q1qChthGa-AljKCDC6ik6-vxHZTPvrF3j2uA8Pr9CZGgtvXzVHn97guk_pHYkENfEh7GReSoVs/njB8ic10P7nrY-jmh0GpLRo9yHd57uCreMuEN0X0cS4),http://www.akkadianventures.com/,Akkadian Ventures III,SF Bay Area/Silicon Valley,
