First Name,Last Name,Title,Company Name for Emails,Industry,Keywords,Person Linkedin Url,Website,Company Linkedin Url,City,State,Country
Ben,Lim,Managing Partner,NEXEA,venture capital & private equity,"venture capital,investment management,south east asia,angels,finance,startup fund malaysia southeast asia,angel investor network malaysia southeast asia,malaysia venture capital,seed funding malaysia,nexea angels,angel investors malaysia,malaysia startup grants,malaysia angel investor,crowdfunding malaysia,business angels malaysia,accelerator malaysia",http://www.linkedin.com/in/bentzelim,http://www.nexea.co,http://www.linkedin.com/company/nexeaventures,Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia
Rian,Cruttenden,CFO,Cruttenden,investment management,,http://www.linkedin.com/in/rian-cruttenden-9b67575,http://www.cruttendenpartners.com,http://www.linkedin.com/company/cruttenden-partners-llc,Newport Beach,California,United States
Jordan,Thurlow,Partner,Clinton Capital,venture capital & private equity,"capital raisings,business & financial advice,business mentoring,shareholder engagement,networking opportunities,market advice & timing,start up investment,ipo strategy,partnerships,investment,venture capital,funding",http://www.linkedin.com/in/jordan-thurlow-b4b88435,http://www.clintoncapitalpartners.com.au,http://www.linkedin.com/company/clinton-capital-partners,Sydney,New South Wales,Australia
Milko,Ibanez,Director,Winnipeg SAC,financial services,,http://www.linkedin.com/in/milko-iba%c3%b1ez-49b1762b,http://www.winnipegcapital.com,http://www.linkedin.com/company/winnipegcapital,,,Peru
Philippe,Mauchard,Chief Investment Officer,SPDG Ventures,investment management,,http://www.linkedin.com/in/philippe-m-mauchard-61b400,http://www.spdg.be,http://www.linkedin.com/company/spdg-soci%c3%a9t%c3%a9-anonyme-de-participation-et-de-gestion,Brussels,Brussels,Belgium
Marius,Garuckas,Chief Financial Officer,DOJUS group,machinery,"agricultural,forestry,specialized machinery,spare parts,turf,machinery rental",http://www.linkedin.com/in/marius-garuckas-171b05,http://www.dojusgroup.lt,http://www.linkedin.com/company/dojusgroup,,,Lithuania
Peter,Mobbs,Managing Director,greyrock investments,investment management,"private equity,education,venture capital,technology",http://www.linkedin.com/in/petermobbs,http://www.greyrock.com.au,http://www.linkedin.com/company/greyrock-investments,,,Australia
Jennifer,Lo,Founder & Chair,NewChic Capital Family Office,venture capital & private equity,,http://www.linkedin.com/in/jennifercheng,http://www.newchiccapital.com,http://www.linkedin.com/company/newchiccapital,Hong Kong,,Hong Kong
May,Liu,Partner,Spark Digital Capital,financial services,,http://www.linkedin.com/in/may-liu-4a56657b,http://www.sparkdigitalcapital.com,http://www.linkedin.com/company/spark-digital-capital,New York,New York,United States
Roy,Choi,Director,KBW Ventures,venture capital & private equity,,http://www.linkedin.com/in/roychoi,http://www.kbw-ventures.com,http://www.linkedin.com/company/kbw-ventures,Irvine,California,United States
Lauren,Nham,"Head of Diligence, Partner",NewChic Capital Family Office,venture capital & private equity,,http://www.linkedin.com/in/laurennham,http://www.newchiccapital.com,http://www.linkedin.com/company/newchiccapital,San Francisco,California,United States
Esteban,Galaz,"Partner, M&A Manager & Business Development",INCIPIO Ventures,venture capital & private equity,,http://www.linkedin.com/in/esteban-guarneros-galaz-176398131,http://www.incipioventures.com,http://www.linkedin.com/company/incipio-ventures,Zapopan,Jalisco,Mexico
Cat,Hernandez,Partner,The Venture Collective,venture capital & private equity,,http://www.linkedin.com/in/catmhernandez,http://www.theventurecollective.com,http://www.linkedin.com/company/hellotvc,New York,New York,United States
Sameer,Narula,Managing Partner,August One,investment management,"family office,venture capital,venture building,impact,sustainability,investment,search funds,management buy outs,search entrepreneurs",http://www.linkedin.com/in/sameernarula,http://www.august.one,http://www.linkedin.com/company/augustone,Lisbon,Lisbon,Portugal
Jim,Quismorio,Founder & Chief Executive Officer,Alto Partners Pte,financial services,"venture capital,asset management,private investments,fintech,consumer technologies,real estate,family office administration",http://www.linkedin.com/in/james-quismorio-4b130846,http://www.alto-partners.com,http://www.linkedin.com/company/alto-partners-pte-ltd,,,Singapore
